lon,lat,ele,time,tz_CEST
14.402708,45.966101,296,2015-06-02T14:59:55Z,2015-06-02 16:59:55
14.402633,45.966075,296,2015-06-02T15:01:55Z,2015-06-02 17:01:55
14.402601,45.96606,296,2015-06-02T15:01:56Z,2015-06-02 17:01:56
14.402562,45.966043,296.1,2015-06-02T15:01:57Z,2015-06-02 17:01:57
14.402514,45.966027,296.1,2015-06-02T15:01:58Z,2015-06-02 17:01:58
14.402464,45.966007,296.2,2015-06-02T15:01:59Z,2015-06-02 17:01:59
14.402413,45.965986,296.4,2015-06-02T15:02:00Z,2015-06-02 17:02:00
14.402358,45.965964,296.5,2015-06-02T15:02:01Z,2015-06-02 17:02:01
14.402291,45.965944,296.7,2015-06-02T15:02:02Z,2015-06-02 17:02:02
14.402221,45.965915,297,2015-06-02T15:02:03Z,2015-06-02 17:02:03
14.402161,45.965893,297.2,2015-06-02T15:02:04Z,2015-06-02 17:02:04
14.402086,45.965862,297.7,2015-06-02T15:02:05Z,2015-06-02 17:02:05
14.402021,45.965827,297.9,2015-06-02T15:02:06Z,2015-06-02 17:02:06
14.401952,45.965794,298.1,2015-06-02T15:02:07Z,2015-06-02 17:02:07
14.401887,45.965768,298.2,2015-06-02T15:02:08Z,2015-06-02 17:02:08
14.401814,45.965755,298.2,2015-06-02T15:02:09Z,2015-06-02 17:02:09
14.401736,45.965694,298.7,2015-06-02T15:02:10Z,2015-06-02 17:02:10
14.401655,45.965656,299,2015-06-02T15:02:11Z,2015-06-02 17:02:11
14.401575,45.965637,299,2015-06-02T15:02:12Z,2015-06-02 17:02:12
14.401497,45.965615,299,2015-06-02T15:02:13Z,2015-06-02 17:02:13
14.401416,45.965588,299.2,2015-06-02T15:02:14Z,2015-06-02 17:02:14
14.401334,45.96556,299.3,2015-06-02T15:02:15Z,2015-06-02 17:02:15
14.401258,45.965541,299.4,2015-06-02T15:02:16Z,2015-06-02 17:02:16
14.401168,45.965523,299.9,2015-06-02T15:02:17Z,2015-06-02 17:02:17
14.401088,45.965501,300.4,2015-06-02T15:02:18Z,2015-06-02 17:02:18
14.400995,45.965481,301,2015-06-02T15:02:19Z,2015-06-02 17:02:19
14.400924,45.965464,301.5,2015-06-02T15:02:20Z,2015-06-02 17:02:20
14.40082,45.965437,302.2,2015-06-02T15:02:21Z,2015-06-02 17:02:21
14.400735,45.965439,302.5,2015-06-02T15:02:22Z,2015-06-02 17:02:22
14.400647,45.965436,302.9,2015-06-02T15:02:23Z,2015-06-02 17:02:23
14.400555,45.965427,303.3,2015-06-02T15:02:24Z,2015-06-02 17:02:24
14.400467,45.965422,303.7,2015-06-02T15:02:25Z,2015-06-02 17:02:25
14.400379,45.965418,304.2,2015-06-02T15:02:26Z,2015-06-02 17:02:26
14.400294,45.965413,304.7,2015-06-02T15:02:27Z,2015-06-02 17:02:27
14.400208,45.96541,305.1,2015-06-02T15:02:28Z,2015-06-02 17:02:28
14.400128,45.965403,305.7,2015-06-02T15:02:29Z,2015-06-02 17:02:29
14.400057,45.965393,306.3,2015-06-02T15:02:30Z,2015-06-02 17:02:30
14.399952,45.965393,306.8,2015-06-02T15:02:31Z,2015-06-02 17:02:31
14.399844,45.965401,307.1,2015-06-02T15:02:32Z,2015-06-02 17:02:32
14.399791,45.965416,307,2015-06-02T15:02:33Z,2015-06-02 17:02:33
14.39966,45.965434,307.3,2015-06-02T15:02:34Z,2015-06-02 17:02:34
14.399563,45.965449,307.4,2015-06-02T15:02:35Z,2015-06-02 17:02:35
14.399197,45.965569,305.5,2015-06-02T15:02:39Z,2015-06-02 17:02:39
14.399105,45.965607,304.8,2015-06-02T15:02:40Z,2015-06-02 17:02:40
14.398988,45.96562,304.6,2015-06-02T15:02:41Z,2015-06-02 17:02:41
14.398884,45.965651,304.1,2015-06-02T15:02:42Z,2015-06-02 17:02:42
14.398794,45.965685,303.5,2015-06-02T15:02:43Z,2015-06-02 17:02:43
14.398698,45.965717,302.8,2015-06-02T15:02:44Z,2015-06-02 17:02:44
14.398593,45.965756,301.9,2015-06-02T15:02:45Z,2015-06-02 17:02:45
14.398484,45.965778,301.5,2015-06-02T15:02:46Z,2015-06-02 17:02:46
14.398399,45.965808,300.9,2015-06-02T15:02:47Z,2015-06-02 17:02:47
14.398307,45.965837,300.4,2015-06-02T15:02:48Z,2015-06-02 17:02:48
14.39821,45.965871,300,2015-06-02T15:02:49Z,2015-06-02 17:02:49
14.398127,45.965902,299.6,2015-06-02T15:02:50Z,2015-06-02 17:02:50
14.398047,45.965941,299.2,2015-06-02T15:02:51Z,2015-06-02 17:02:51
14.397972,45.965988,298.7,2015-06-02T15:02:52Z,2015-06-02 17:02:52
14.397861,45.966025,298.2,2015-06-02T15:02:53Z,2015-06-02 17:02:53
14.397767,45.966066,297.5,2015-06-02T15:02:54Z,2015-06-02 17:02:54
14.39769,45.966106,296.8,2015-06-02T15:02:55Z,2015-06-02 17:02:55
14.397597,45.966147,296.2,2015-06-02T15:02:56Z,2015-06-02 17:02:56
14.397501,45.966179,295.6,2015-06-02T15:02:57Z,2015-06-02 17:02:57
14.397449,45.966202,295.3,2015-06-02T15:02:58Z,2015-06-02 17:02:58
14.397319,45.966257,294.5,2015-06-02T15:02:59Z,2015-06-02 17:02:59
14.397227,45.966297,294.2,2015-06-02T15:03:00Z,2015-06-02 17:03:00
14.397126,45.96633,293.8,2015-06-02T15:03:01Z,2015-06-02 17:03:01
14.39704,45.966365,293.5,2015-06-02T15:03:02Z,2015-06-02 17:03:02
14.396946,45.966398,293.1,2015-06-02T15:03:03Z,2015-06-02 17:03:03
14.396859,45.966446,292.8,2015-06-02T15:03:04Z,2015-06-02 17:03:04
14.396764,45.966468,292.4,2015-06-02T15:03:05Z,2015-06-02 17:03:05
14.396673,45.966498,292.1,2015-06-02T15:03:06Z,2015-06-02 17:03:06
14.396612,45.966522,291.9,2015-06-02T15:03:07Z,2015-06-02 17:03:07
14.396512,45.966545,291.6,2015-06-02T15:03:08Z,2015-06-02 17:03:08
14.396471,45.966538,291.5,2015-06-02T15:03:09Z,2015-06-02 17:03:09
14.396216,45.96657,290.8,2015-06-02T15:03:12Z,2015-06-02 17:03:12
14.395858,45.966419,290.2,2015-06-02T15:03:15Z,2015-06-02 17:03:15
14.395819,45.966366,290.2,2015-06-02T15:03:16Z,2015-06-02 17:03:16
14.395767,45.966292,290.2,2015-06-02T15:03:17Z,2015-06-02 17:03:17
14.395733,45.966219,290.2,2015-06-02T15:03:18Z,2015-06-02 17:03:18
14.395705,45.966154,290.3,2015-06-02T15:03:19Z,2015-06-02 17:03:19
14.395684,45.966093,290.5,2015-06-02T15:03:20Z,2015-06-02 17:03:20
14.395659,45.966031,290.6,2015-06-02T15:03:21Z,2015-06-02 17:03:21
14.395625,45.965952,290.7,2015-06-02T15:03:22Z,2015-06-02 17:03:22
14.395603,45.965886,290.9,2015-06-02T15:03:23Z,2015-06-02 17:03:23
14.395574,45.965823,291,2015-06-02T15:03:24Z,2015-06-02 17:03:24
14.395539,45.965765,291.1,2015-06-02T15:03:25Z,2015-06-02 17:03:25
14.395505,45.965705,291.2,2015-06-02T15:03:26Z,2015-06-02 17:03:26
14.395473,45.965638,291.4,2015-06-02T15:03:27Z,2015-06-02 17:03:27
14.395442,45.96558,291.5,2015-06-02T15:03:28Z,2015-06-02 17:03:28
14.39541,45.965516,291.6,2015-06-02T15:03:29Z,2015-06-02 17:03:29
14.395372,45.965454,291.8,2015-06-02T15:03:30Z,2015-06-02 17:03:30
14.395343,45.965408,291.9,2015-06-02T15:03:31Z,2015-06-02 17:03:31
14.395307,45.965342,292.3,2015-06-02T15:03:32Z,2015-06-02 17:03:32
14.395265,45.965271,292.7,2015-06-02T15:03:33Z,2015-06-02 17:03:33
14.395225,45.96521,293,2015-06-02T15:03:34Z,2015-06-02 17:03:34
14.395189,45.965143,293.4,2015-06-02T15:03:35Z,2015-06-02 17:03:35
14.395147,45.965082,293.6,2015-06-02T15:03:36Z,2015-06-02 17:03:36
14.395097,45.965025,293.8,2015-06-02T15:03:37Z,2015-06-02 17:03:37
14.395052,45.964969,293.9,2015-06-02T15:03:38Z,2015-06-02 17:03:38
14.394812,45.964747,293.8,2015-06-02T15:03:42Z,2015-06-02 17:03:42
14.39475,45.964696,293.7,2015-06-02T15:03:43Z,2015-06-02 17:03:43
14.394687,45.964657,293.4,2015-06-02T15:03:44Z,2015-06-02 17:03:44
14.394619,45.964594,293.2,2015-06-02T15:03:45Z,2015-06-02 17:03:45
14.394559,45.964542,293.2,2015-06-02T15:03:46Z,2015-06-02 17:03:46
14.394492,45.964489,293.3,2015-06-02T15:03:47Z,2015-06-02 17:03:47
14.39443,45.964443,293.4,2015-06-02T15:03:48Z,2015-06-02 17:03:48
14.394374,45.964388,293.5,2015-06-02T15:03:49Z,2015-06-02 17:03:49
14.394309,45.964341,293.5,2015-06-02T15:03:50Z,2015-06-02 17:03:50
14.39425,45.964296,293.5,2015-06-02T15:03:51Z,2015-06-02 17:03:51
14.394183,45.964246,293.4,2015-06-02T15:03:52Z,2015-06-02 17:03:52
14.394115,45.964202,293.3,2015-06-02T15:03:53Z,2015-06-02 17:03:53
14.394059,45.964156,293.3,2015-06-02T15:03:54Z,2015-06-02 17:03:54
14.394001,45.964107,293.3,2015-06-02T15:03:55Z,2015-06-02 17:03:55
14.393936,45.964064,293.1,2015-06-02T15:03:56Z,2015-06-02 17:03:56
14.393876,45.96402,293,2015-06-02T15:03:57Z,2015-06-02 17:03:57
14.393833,45.963987,292.9,2015-06-02T15:03:58Z,2015-06-02 17:03:58
