measurement_type,datetimems,measurement
ECG,1404493201295,506
ECG,1404493201291,506
ECG,1404493201299,506
ECG,1404493201303,506
ECG,1404493201307,506
ECG,1404493201311,506
ECG,1404493201315,506
ECG,1404493201319,506
ECG,1404493201323,506
ECG,1404493201327,506
ECG,1404493201331,506
ECG,1404493201335,505
ECG,1404493201339,504
ECG,1404493201343,503
ECG,1404493201347,505
ECG,1404493201351,508
ECG,1404493201355,513
ECG,1404493201359,520
ECG,1404493201363,527
ECG,1404493201367,532
ECG,1404493201371,533
ECG,1404493201375,528
ECG,1404493201379,518
ECG,1404493201383,506
ECG,1404493201387,496
ECG,1404493201391,492
ECG,1404493201395,494
ECG,1404493201399,499
ECG,1404493201403,505
ECG,1404493201407,508
ECG,1404493201411,508
ECG,1404493201415,507
ECG,1404493201419,507
ECG,1404493201423,507
ECG,1404493201427,507
ECG,1404493201431,507
ECG,1404493201435,507
ECG,1404493201427,508
ECG,1404493201431,508
ECG,1404493201435,508
ECG,1404493201439,509
ECG,1404493201443,509
ECG,1404493201447,509
ECG,1404493201451,509
ECG,1404493201455,509
ECG,1404493201459,509
ECG,1404493201463,509
ECG,1404493201467,510
ECG,1404493201471,510
ECG,1404493201475,511
ECG,1404493201479,511
ECG,1404493201483,511
ECG,1404493201487,512
ECG,1404493201491,512
ECG,1404493201495,512
ECG,1404493201499,512
ECG,1404493201503,512
ECG,1404493201507,513
ECG,1404493201511,514
ECG,1404493201515,514
ECG,1404493201519,514
ECG,1404493201523,514
ECG,1404493201527,514
ECG,1404493201531,515
ECG,1404493201535,515
ECG,1404493201539,515
ECG,1404493201543,514
ECG,1404493201547,514
ECG,1404493201551,514
ECG,1404493201555,513
ECG,1404493201559,513
ECG,1404493201563,513
ECG,1404493201567,513
ECG,1404493201571,513
ECG,1404493201575,513
ECG,1404493201579,513
ECG,1404493201583,512
ECG,1404493201587,512
ECG,1404493201591,512
ECG,1404493201595,512
ECG,1404493201599,512
ECG,1404493201603,511
ECG,1404493201607,510
ECG,1404493201611,510
ECG,1404493201615,509
ECG,1404493201619,508
ECG,1404493201623,508
ECG,1404493201627,508
ECG,1404493201631,508
ECG,1404493201635,508
ECG,1404493201639,508
ECG,1404493201643,507
ECG,1404493201647,507
ECG,1404493201651,506
ECG,1404493201655,506
ECG,1404493201659,506
ECG,1404493201663,507
ECG,1404493201667,507
ECG,1404493201671,508
ECG,1404493201675,508
ECG,1404493201663,508
ECG,1404493201667,507
ECG,1404493201671,508
ECG,1404493201675,508
ECG,1404493201679,508
ECG,1404493201683,508
ECG,1404493201687,508
ECG,1404493201691,508
ECG,1404493201695,508
ECG,1404493201699,507
ECG,1404493201703,507
ECG,1404493201707,507
ECG,1404493201711,507
ECG,1404493201715,507
ECG,1404493201719,507
ECG,1404493201723,507
ECG,1404493201727,506
ECG,1404493201731,506
ECG,1404493201735,506
ECG,1404493201739,507
ECG,1404493201743,507
ECG,1404493201747,507
ECG,1404493201751,507
ECG,1404493201755,507
ECG,1404493201759,507
ECG,1404493201763,508
ECG,1404493201767,508
ECG,1404493201771,508
ECG,1404493201775,508
ECG,1404493201779,508
ECG,1404493201783,508
ECG,1404493201787,508
ECG,1404493201791,508
ECG,1404493201795,508
ECG,1404493201799,509
ECG,1404493201803,509
ECG,1404493201807,509
ECG,1404493201811,509
ECG,1404493201815,509
ECG,1404493201819,508
ECG,1404493201823,508
ECG,1404493201827,508
ECG,1404493201831,507
ECG,1404493201835,507
ECG,1404493201839,506
ECG,1404493201843,506
ECG,1404493201847,506
ECG,1404493201851,506
ECG,1404493201855,506
ECG,1404493201859,506
ECG,1404493201863,506
ECG,1404493201867,506
ECG,1404493201871,506
ECG,1404493201875,506
ECG,1404493201879,506
ECG,1404493201883,505
ECG,1404493201887,505
ECG,1404493201891,505
ECG,1404493201895,505
ECG,1404493201899,506
ECG,1404493201903,506
ECG,1404493201907,506
ECG,1404493201911,506
ECG,1404493201938,505
ECG,1404493201942,504
ECG,1404493201946,503
ECG,1404493201950,503
ECG,1404493201954,505
ECG,1404493201958,509
ECG,1404493201962,515
ECG,1404493201966,522
ECG,1404493201970,529
ECG,1404493201974,533
ECG,1404493201978,531
ECG,1404493201982,524
ECG,1404493201986,512
ECG,1404493201990,501
ECG,1404493201994,493
ECG,1404493201998,492
ECG,1404493202002,495
ECG,1404493202006,501
ECG,1404493202010,505
ECG,1404493202014,507
ECG,1404493202018,507
ECG,1404493202022,506
ECG,1404493202026,506
ECG,1404493202030,507
ECG,1404493202034,507
ECG,1404493202038,507
ECG,1404493202042,507
ECG,1404493202046,507
ECG,1404493202050,507
ECG,1404493202054,507
ECG,1404493202058,508
ECG,1404493202062,508
ECG,1404493202066,508
ECG,1404493202070,509
ECG,1404493202074,509
ECG,1404493202078,509
ECG,1404493202082,509
ECG,1404493202086,510
ECG,1404493202090,510
ECG,1404493202094,510
ECG,1404493202098,510
ECG,1404493202102,511
ECG,1404493202106,511
ECG,1404493202110,511
ECG,1404493202114,511
ECG,1404493202118,512
ECG,1404493202122,512
ECG,1404493202126,513
ECG,1404493202130,513
ECG,1404493202134,513
ECG,1404493202138,514
ECG,1404493202142,514
ECG,1404493202146,514
ECG,1404493202150,514
ECG,1404493202154,514
ECG,1404493202158,514
ECG,1404493202162,514
ECG,1404493202166,514
ECG,1404493202170,513
ECG,1404493202174,513
ECG,1404493202178,513
ECG,1404493202182,513
ECG,1404493202186,512
ECG,1404493202157,512
ECG,1404493202161,512
ECG,1404493202165,512
ECG,1404493202169,512
ECG,1404493202173,512
ECG,1404493202177,511
ECG,1404493202181,510
ECG,1404493202185,510
ECG,1404493202189,509
ECG,1404493202193,509
ECG,1404493202197,509
ECG,1404493202201,509
ECG,1404493202205,508
ECG,1404493202209,508
ECG,1404493202213,507
ECG,1404493202217,507
ECG,1404493202221,507
ECG,1404493202225,506
ECG,1404493202229,506
ECG,1404493202233,506
ECG,1404493202237,506
ECG,1404493202241,507
ECG,1404493202245,507
ECG,1404493202249,507
ECG,1404493202253,507
ECG,1404493202257,507
ECG,1404493202261,507
ECG,1404493202265,507
ECG,1404493202269,506
ECG,1404493202273,506
ECG,1404493202277,506
ECG,1404493202281,506
ECG,1404493202285,506
ECG,1404493202289,507
ECG,1404493202293,506
ECG,1404493202297,506
ECG,1404493202301,506
ECG,1404493202305,506
ECG,1404493202309,506
ECG,1404493202313,506
ECG,1404493202317,506
ECG,1404493202321,506
ECG,1404493202325,506
ECG,1404493202329,506
ECG,1404493202333,506
ECG,1404493202337,506
ECG,1404493202341,506
ECG,1404493202345,505
ECG,1404493202349,506
ECG,1404493202353,506
ECG,1404493202357,506
ECG,1404493202361,506
ECG,1404493202365,506
ECG,1404493202369,506
ECG,1404493202373,506
ECG,1404493202377,506
ECG,1404493202381,506
ECG,1404493202385,506
ECG,1404493202389,507
ECG,1404493202393,507
ECG,1404493202397,507
ECG,1404493202401,507
ECG,1404493202405,507
ECG,1404493202416,508
ECG,1404493202420,508
ECG,1404493202424,508
ECG,1404493202428,507
ECG,1404493202432,507
ECG,1404493202436,506
ECG,1404493202440,505
ECG,1404493202444,504
ECG,1404493202448,504
ECG,1404493202452,504
ECG,1404493202456,504
ECG,1404493202460,504
ECG,1404493202464,504
ECG,1404493202468,505
ECG,1404493202472,505
ECG,1404493202476,505
ECG,1404493202480,505
ECG,1404493202484,504
ECG,1404493202488,505
ECG,1404493202492,505
ECG,1404493202496,505
ECG,1404493202500,505
ECG,1404493202504,505
ECG,1404493202508,505
ECG,1404493202512,505
ECG,1404493202516,505
ECG,1404493202520,504
ECG,1404493202524,503
ECG,1404493202528,502
ECG,1404493202532,502
ECG,1404493202536,503
ECG,1404493202540,507
ECG,1404493202544,512
ECG,1404493202548,519
ECG,1404493202552,525
ECG,1404493202556,530
ECG,1404493202560,531
ECG,1404493202564,526
ECG,1404493202568,517
ECG,1404493202572,505
ECG,1404493202576,494
ECG,1404493202580,488
ECG,1404493202584,489
ECG,1404493202588,494
ECG,1404493202592,500
ECG,1404493202596,505
ECG,1404493202600,507
ECG,1404493202604,506
ECG,1404493202608,506
ECG,1404493202612,505
ECG,1404493202616,506
ECG,1404493202620,506
ECG,1404493202624,506
ECG,1404493202628,507
ECG,1404493202632,507
ECG,1404493202636,507
ECG,1404493202640,507
ECG,1404493202644,507
ECG,1404493202648,507
ECG,1404493202652,508
ECG,1404493202656,508
ECG,1404493202660,509
ECG,1404493202664,509
ECG,1404493202691,509
ECG,1404493202695,509
ECG,1404493202699,509
ECG,1404493202703,509
ECG,1404493202707,509
ECG,1404493202711,510
ECG,1404493202715,510
ECG,1404493202719,511
ECG,1404493202723,511
ECG,1404493202727,511
ECG,1404493202731,511
ECG,1404493202735,511
ECG,1404493202739,511
ECG,1404493202743,512
ECG,1404493202747,513
ECG,1404493202751,513
ECG,1404493202755,514
ECG,1404493202759,513
ECG,1404493202763,513
ECG,1404493202767,513
ECG,1404493202771,513
ECG,1404493202775,513
ECG,1404493202779,512
ECG,1404493202783,512
ECG,1404493202787,512
ECG,1404493202791,512
ECG,1404493202795,512
ECG,1404493202799,512
ECG,1404493202803,512
ECG,1404493202807,512
ECG,1404493202811,512
ECG,1404493202815,511
