measurement_type,datetimems,measurement
ECG,1405436375439,502
ECG,1405436375443,506
ECG,1405436375447,507
ECG,1405436375451,507
ECG,1405436375455,506
ECG,1405436375459,506
ECG,1405436375463,506
ECG,1405436375467,506
ECG,1405436375471,506
ECG,1405436375475,507
ECG,1405436375479,507
ECG,1405436375483,507
ECG,1405436375487,508
ECG,1405436375491,508
ECG,1405436375495,508
ECG,1405436375499,508
ECG,1405436375503,508
ECG,1405436375507,508
ECG,1405436375511,508
ECG,1405436375515,508
ECG,1405436375519,509
ECG,1405436375523,509
ECG,1405436375527,509
ECG,1405436375531,509
ECG,1405436375535,508
ECG,1405436375539,509
ECG,1405436375543,509
ECG,1405436375547,510
ECG,1405436375551,510
ECG,1405436375555,511
ECG,1405436375559,511
ECG,1405436375563,511
ECG,1405436375567,512
ECG,1405436375571,512
ECG,1405436375575,513
ECG,1405436375579,514
ECG,1405436375583,514
ECG,1405436375587,514
ECG,1405436375591,515
ECG,1405436375595,516
ECG,1405436375599,516
ECG,1405436375603,517
ECG,1405436375607,518
ECG,1405436375611,518
ECG,1405436375615,519
ECG,1405436375619,519
ECG,1405436375623,520
ECG,1405436375627,520
ECG,1405436375631,520
ECG,1405436375635,520
ECG,1405436375639,520
ECG,1405436375633,520
ECG,1405436375637,520
ECG,1405436375641,520
ECG,1405436375645,519
ECG,1405436375649,518
ECG,1405436375653,517
ECG,1405436375657,516
ECG,1405436375661,515
ECG,1405436375665,514
ECG,1405436375669,512
ECG,1405436375673,511
ECG,1405436375677,510
ECG,1405436375681,509
ECG,1405436375685,508
ECG,1405436375689,508
ECG,1405436375693,507
ECG,1405436375697,507
ECG,1405436375701,507
ECG,1405436375705,506
ECG,1405436375709,505
ECG,1405436375713,505
ECG,1405436375717,505
ECG,1405436375721,505
ECG,1405436375725,505
ECG,1405436375729,505
ECG,1405436375733,505
ECG,1405436375737,505
ECG,1405436375741,506
ECG,1405436375745,506
ECG,1405436375749,506
ECG,1405436375753,506
ECG,1405436375757,506
ECG,1405436375761,506
ECG,1405436375765,506
ECG,1405436375769,506
ECG,1405436375773,506
ECG,1405436375777,506
ECG,1405436375781,506
ECG,1405436375785,506
ECG,1405436375789,506
ECG,1405436375793,506
ECG,1405436375797,506
ECG,1405436375801,506
ECG,1405436375805,506
ECG,1405436375809,506
ECG,1405436375813,506
ECG,1405436375817,506
ECG,1405436375821,506
ECG,1405436375825,507
ECG,1405436375829,507
ECG,1405436375833,507
